frame,test_file,gt_file,chamfer_distance,accuracy,completeness,hausdorff_distance,precision_10.0,recall_10.0,fscore_10.0,precision_20.0,recall_20.0,fscore_20.0,precision_30.0,recall_30.0,fscore_30.0,precision_50.0,recall_50.0,fscore_50.0,source_filename
17,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0017.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0017.ply,15.031648,14.741159,15.322136,562.775879,0.382293,0.456569,0.416142,0.737214,0.783468,0.759638,0.919915,0.907749,0.913791,0.995366,0.959148,0.976921,BlueSpeech_baseline_metrics.csv
18,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0018.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0018.ply,14.823478,14.406964,15.239993,575.705872,0.39614,0.464249,0.427499,0.746125,0.779055,0.762234,0.922175,0.910112,0.916104,0.996104,0.957941,0.97665,BlueSpeech_baseline_metrics.csv
19,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0019.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0019.ply,14.941398,14.57213,15.310666,491.304962,0.390416,0.456674,0.420954,0.723787,0.775085,0.748558,0.92205,0.908959,0.915458,0.997014,0.958024,0.97713,BlueSpeech_baseline_metrics.csv
20,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0020.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0020.ply,15.032597,14.626569,15.438626,537.472839,0.393383,0.456852,0.422749,0.720581,0.770627,0.744764,0.913222,0.901152,0.907147,0.995815,0.955799,0.975397,BlueSpeech_baseline_metrics.csv
21,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0021.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0021.ply,14.963795,14.143662,15.783929,464.538055,0.416034,0.448781,0.431788,0.738359,0.762586,0.750277,0.921404,0.896322,0.90869,0.995779,0.95688,0.975942,BlueSpeech_baseline_metrics.csv
22,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0022.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0022.ply,14.629657,13.797729,15.461584,315.844849,0.415192,0.456058,0.434666,0.754075,0.775745,0.764757,0.929563,0.904522,0.916871,0.996965,0.955664,0.975878,BlueSpeech_baseline_metrics.csv
23,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0023.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0023.ply,14.757512,13.743649,15.771375,256.447906,0.407273,0.444235,0.424952,0.765867,0.778633,0.772197,0.934429,0.900802,0.917307,0.996384,0.952061,0.973718,BlueSpeech_baseline_metrics.csv
24,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0024.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0024.ply,14.362561,13.70548,15.019641,273.125275,0.405964,0.467518,0.434572,0.77458,0.794993,0.784653,0.940537,0.908834,0.924414,0.995976,0.953325,0.974184,BlueSpeech_baseline_metrics.csv
25,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0025.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0025.ply,14.778925,13.944782,15.613067,264.98938,0.398914,0.460678,0.427577,0.769435,0.791197,0.780164,0.93225,0.901702,0.916722,0.994069,0.954191,0.973722,BlueSpeech_baseline_metrics.csv
26,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0026.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0026.ply,14.972414,14.328202,15.616626,152.78598,0.395727,0.45199,0.421992,0.751121,0.775883,0.763301,0.921508,0.903558,0.912445,0.993209,0.953185,0.972785,BlueSpeech_baseline_metrics.csv
